,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Aklavik,68.2191,-135.0107,12.61,88,70,9.82,CA,1584511200
1,Rikitea,-23.1203,-134.9692,80.15,83,31,7.96,PF,1584511200
2,Ulaanbaatar,47.9077,106.8832,28.24,79,8,11.5,MN,1584511200
3,Buraidah,26.326,43.975,76.84,19,10,17.05,SA,1584511200
4,Saskylakh,71.9167,114.0833,-10.03,83,37,15.93,RU,1584511200
5,Khatanga,71.9667,102.5,-7.69,86,100,7.2,RU,1584511200
6,Ushuaia,-54.8,-68.3,53.26,96,100,3.42,AR,1584511200
7,Castro,-24.7911,-50.0119,64.85,98,69,4.18,BR,1584511200
8,Avarua,-21.2078,-159.775,81.03,87,100,18.59,CK,1584511200
9,Severo-Kuril'sk,50.6789,156.125,20.21,87,96,16.22,RU,1584511200
10,Vaini,-21.2,-175.2,79.99,78,100,12.53,TO,1584511200
11,Barrow,71.2906,-156.7887,21.47,89,100,15.75,US,1584511200
12,Thompson,55.7435,-97.8558,-9.06,95,32,4.88,CA,1584511200
13,Yellowknife,62.456,-114.3525,-7.31,98,80,5.99,CA,1584511200
14,George Town,5.4112,100.3354,93.11,45,26,2.37,MY,1584511200
15,Klaksvík,62.2266,-6.589,41.09,65,94,26.8,FO,1584511200
16,Omboué,-1.5746,9.2618,76.19,94,99,2.71,GA,1584511200
17,Ponta do Sol,32.6667,-17.1,60.17,64,0,8.81,PT,1584511200
18,Tuktoyaktuk,69.4541,-133.0374,-3.37,92,20,13.38,CA,1584511200
19,Mahébourg,-20.4081,57.7,80.33,77,15,9.19,MU,1584511200
20,Salé,34.0389,-6.8166,55.31,73,78,1.68,MA,1584511200
21,Busselton,-33.65,115.3333,67.55,57,15,20.24,AU,1584511200
22,Kayes,14.0,-11.0,73.85,16,17,2.37,ML,1584511200
23,Paragominas,-2.9667,-47.4833,72.23,99,88,2.28,BR,1584511200
24,Lodja,-3.4833,23.4333,70.25,93,100,2.71,CD,1584511200
25,Hobart,-42.8794,147.3294,66.18,75,100,8.57,AU,1584511200
26,Worthington,40.0931,-83.018,41.09,72,34,3.91,US,1584511200
27,Albany,42.6001,-73.9662,31.57,88,30,5.12,US,1584511200
28,Norman Wells,65.282,-126.8329,17.65,96,41,2.93,CA,1584511200
29,Yei,4.095,30.6779,74.03,63,100,2.71,SS,1584511200
30,Butaritari,3.0707,172.7902,83.75,76,1,14.72,KI,1584511200
31,Richards Bay,-28.783,32.0377,72.23,70,58,26.73,ZA,1584511200
